frame,x [nm],y [nm],z [nm],intensity [au]
1.0,3915.579836512915,6358.051798194648,475.8992666726584,71.5369644165039
1.0,15964.478227943182,4010.0743626058097,599.1151542453977,29.60881233215332
1.0,31487.461633086205,2616.9205054547647,846.6883937081138,25.847368240356445
1.0,30345.98804540932,5606.822614073753,2496.303625159211,28.763317108154297
1.0,3222.2696492075934,27097.140628919005,1246.1807328266104,21.553081512451172
1.0,8534.629725962877,30367.265963815153,1841.7055135244852,20.248188018798828
1.0,5559.401015341283,35886.71783223748,1289.8616161975233,26.851221084594727
1.0,7036.603385792114,36604.25846092403,1869.7823534955037,23.885425567626953
2.0,2683.7986291199913,12778.071293607354,1061.9061687490444,24.21241569519043
2.0,5124.644212797286,10355.595138557255,1393.9147486791508,67.6657943725586
2.0,8917.331367358565,11810.924532152712,2340.292459005838,39.98635482788086
2.0,15973.204680383205,3939.432652592661,554.465732731662,23.044450759887695
2.0,23208.296810090542,5281.287769438059,919.0340592310979,29.927793502807617
2.0,17797.87335075438,8296.012842319908,2010.203723069076,24.91773223876953
2.0,15211.363635137677,5562.8263844549665,2343.435109316648,21.360774993896484
2.0,28091.136860512197,6158.281613031868,1614.1944842024166,28.46135902404785
2.0,24899.85232681036,10117.578275799751,1560.8259164370024,21.204025268554688
2.0,28110.018234550953,6263.745491802693,1819.282189830319,22.29187774658203
2.0,10580.12256407179,13302.886910438538,2566.364715387533,23.26258659362793
2.0,15281.573872864246,15473.690480813386,2194.611035860502,33.032623291015625
2.0,23808.327966816727,14643.889329675585,1323.1493457333072,90.92586517333984
2.0,30150.90201556683,13228.800843358042,1806.1214371041938,42.85800552368164
2.0,32642.22027635202,16259.835589528084,2439.0191822261604,31.09467887878418
2.0,29022.265535965562,20226.400984749198,3531.876548960969,36.41070556640625
2.0,34425.68865235895,17266.307038404047,1503.8675174608336,65.8980484008789
2.0,37415.665657408535,19317.06084664911,1850.9618947794152,35.967472076416016
2.0,12524.21530008316,27449.6411418356,1354.9415986616534,23.415132522583008
2.0,6927.318081855775,36601.76672205329,1804.061931568188,21.007259368896484
2.0,38113.0725991726,38711.81100547314,1321.182649214189,22.530988693237305
3.0,9263.801840990782,5799.4250790961105,1187.6738516838996,46.63762283325195
3.0,14897.110216878355,6344.2532036453495,978.6732511205989,27.701007843017578
3.0,15578.330022580922,6376.590987592936,970.2907682775142,46.09740447998047
3.0,23157.866501621902,5157.759814672172,1050.0261757400012,45.83991241455078
3.0,13509.859957173467,11185.035440847278,1316.81996518439,100.7997817993164
3.0,24870.656088851396,4786.398907788097,473.66554789490755,24.584171295166016
3.0,27670.61494709924,5231.808253079653,928.0491962537661,49.44007873535156
